Document Name,Collection First Name,Collection Last Name,SLNSW URL (Old),SLNSW URL (New),Original Document Name,Document Description,Author First Name,Author Last Name,Document Type,Start Day,Start Month,Start Year,End Day,End Month,End Year,Transcriber 1,Transcriber 2,Transcriber 3,Transcriber 4,Transcriber 5,Digital Scans Available,Transcription Available (In Catalouge),Included in Data Set,Number of Square Brackets Fixed,Number of Angled Brackets Fixed
Diary_0011,James,Baillie,https://archival.sl.nsw.gov.au/Details/archive/110162825,https://collection.sl.nsw.gov.au/record/Yj7Lwr49,document-james-baillie-diary-11-february-1915---18-february-1916-node-72728,"Diary describes the voyage from Sydney to Suez on the troopship Seang Bee, training in Egypt, landing at Gallipoli and service there, and return to Egypt. A typed transcript of the diary is included.",James,Baillie,Diary,11,2,1915,18,2,1916,,,,,,TRUE,TRUE,TRUE,0,0
Diary_0012,Charles,Baker,https://archival.sl.nsw.gov.au/Details/archive/110319342,https://collection.sl.nsw.gov.au/record/1xqZ8r3Y,document-baker-diary-1918-1919-charles-a.-baker-node-80831,"Mainly concerned with treatment and progress of writer's leg injury. Describes in retrospect events 19-28 May, 1918, continues with daily account of treatment and events in military hospitals at Eastbourne, Dartford and Weymouth, on return voyage to Melbourne on S.S. Burma, 13 Dec. 1918 - 29 Jan. 1919 with notes Sep.?, 15 Dec. 1919",Charles,Baker,Diary,22,9,1918,15,12,1919,,,,,,TRUE,FALSE,TRUE,0,0
Diary_0013,Leonard,Bartlett,https://archival.sl.nsw.gov.au/Details/archive/110349566,https://collection.sl.nsw.gov.au/record/YEGmX0rn,document-item-01-leonard-v.-bartlett-diary-3-april-1915-31-december-1915-node-72560,"Describes embarking from Alexandria on S.S. Lake Michigan 4 Apr. 1915, arriving Mudros Harbour 28 Apr. 1915, warfare in the Lone Pine trenches, evacuation from Gallipoli 26 Dec. 1915 and arriving in Alexandria 29 Dec. 1915",Leonard,Bartlett,Diary,3,4,1915,31,12,1915,Judy Gimbert,,,,,TRUE,TRUE,TRUE,1,0
Diary_0014,Leonard,Bartlett,https://archival.sl.nsw.gov.au/Details/archive/110362580,https://collection.sl.nsw.gov.au/record/1JkmWGGY,document-item-02-leonard-v.-bartlett-diary-20-april-1917-31-december-node-80332,"Describes training at rifle ranges, parades, activities in camps and dugouts at Etaples and Albert, France with the 2nd Brigade, relieving the 1st and 55th, being injured by the collapse of a dugout, 17 May 1917, leave in Amiens 7 June, leave in England 13 Sept., attending court-martials, billets, route marches and military action in France Dec. 1917. Note in front of diary states that first part of year was spent at training camp in Salisbury, England before returning to France 20 Apr. 1917",Leonard,Bartlett,Diary,20,4,1917,1,1,1918,Darren Blumberg,Peter Mayo,,,,TRUE,TRUE,TRUE,0,0
Diary_0015,Leonard,Bartlett,https://archival.sl.nsw.gov.au/Details/archive/110349570,https://collection.sl.nsw.gov.au/record/n7oV38bn,document-item-03-leonard-v.-bartlett-diary-1-january-1918-1-january-1919-node-80246,"Diary describes action in France, leave in London 24 Jan.-8 Feb. 1918, hospitalisation in Le Treport after gassing at Villers-Bretonneux, 17 Apr. 1918, transfer to London General Hospital and convalescence 28 Apr.-June 1918",Leonard,Bartlett,Diary,1,1,1918,1,1,1919,Judy Gimbert,Betty Smith,Peter Mayo,,,TRUE,TRUE,TRUE,0,1
Diary_0016,Archibald,Barwick,https://archival.sl.nsw.gov.au/Details/archive/110336347,https://collection.sl.nsw.gov.au/record/9AL45x5Y,document-item-03-archie-barwick-diary-10-may-23-july-1916-node-80494,"Describes arrival and billets in France, leave in England in June 1916, gas attack in Steenvoorde, and trench warfare in Fleurbeaux and Pozieres.",Archibald,Barwick,Diary,10,5,1916,23,7,1916,Miles Harvey,Lynne Palmer,,,,TRUE,TRUE,TRUE,0,0
Diary_0017,Archibald,Barwick,https://archival.sl.nsw.gov.au/Details/archive/110336684,https://collection.sl.nsw.gov.au/record/1bGdkg8Y,document-item-04-archie-barwick-diary-23-july-1916-2-september-1916-node-80560,"Describes Barwick's service in 11 Platoon C. Coy, 1st Battalion, A.I.F., France, billeting experiences in Albert, Contalmaison and other villages, attendance at Officers Training School, and trench warfare in France and Belgium including the bombardment and taking of Pozieres.",Archibald,Barwick,Diary,23,7,1916,2,9,1916,Rosemary Cox,Barbara Manchester,Margaret Swinton,,,TRUE,TRUE,TRUE,0,0
Diary_0018,Archibald,Barwick,https://archival.sl.nsw.gov.au/Details/archive/110336697,https://collection.sl.nsw.gov.au/record/9gkdLbr9,document-item-05-archie-barwick-diary-3-september-3-october-1916-node-80593,"Describes experiences including digging trenches, air raids, with vivid descriptions of the conditions in the trenches during close fighting near Ypres, Belgium",Archibald,Barwick,Diary,2,9,1916,3,10,1916,Rosemary Cox,Margaret Swinton,Barbara Manchester,,,TRUE,TRUE,TRUE,0,0
Diary_0019,Archibald,Barwick,https://archival.sl.nsw.gov.au/Details/archive/110336696,https://collection.sl.nsw.gov.au/record/16AJDemn,document-item-06-archie-barwick-diary-4-october-1916-7-november-1916-node-80561,"Barwick describes his experiences in the trenches from 4th October 1916, starting in Belgium then moving on to France and the notorious 1916 winter in the Somme near Albert then Flers. The diary ends with an unsuccessful attack on the German trenches.",Archibald,Barwick,Diary,4,10,1916,7,11,1916,Lynne Palmer,Donna Gallacher,,,,TRUE,TRUE,TRUE,1,0
Diary_0020,Archibald,Barwick,https://archival.sl.nsw.gov.au/Details/archive/110336698,https://collection.sl.nsw.gov.au/record/9NaAoqWY,document-item-07-archie-barwick-diary-7-november-1916---2-january-1917-node-80562,"Describes trench warfare near Delville Wood and Dernacourt, with descriptions of billets, the muddy conditions, air raids and bombardments and close combat at the firing line",Archibald,Barwick,Diary,7,11,1916,2,1,1917,Bill Coupland,Judy Gimbert,,,,TRUE,TRUE,TRUE,2,3
Diary_0021,Archibald,Barwick,https://archival.sl.nsw.gov.au/Details/archive/110336701,https://collection.sl.nsw.gov.au/record/YRlZ6aqn,document-item-08-archie-barwick-diary-3-january-1917-26-march-1917-node-80594,"Describes warfare in France with descriptions of billets, route marches, trench foot and other conditions in the trenches.",Archibald,Barwick,Diary,3,1,1917,26,3,1917,Eric Hetherington,Patricia Ryan,,,,TRUE,TRUE,TRUE,3,28
Diary_0022,Archibald,Barwick,https://archival.sl.nsw.gov.au/Details/archive/110336705,https://collection.sl.nsw.gov.au/record/n88EKOzn,document-item-09-archie-barwick-diary-14-april-1917-19-may-1917-node-80595,"Describes camps and trench warfare near Rouen in France, marches through Pozieres and Baupaume and departure for duty in England 10 May 1917",Archibald,Barwick,Diary,6,4,1917,19,5,1917,John Brooker,John Buchanan,Grahame Bickford,,,TRUE,TRUE,TRUE,6,0
Diary_0023,Archibald,Barwick,https://archival.sl.nsw.gov.au/Details/archive/110336712,https://collection.sl.nsw.gov.au/record/nM7lANmY,document-item-10-archie-barwick-diary-26-march-1917-10-september-1917-node-80495,"Describes experiences in camps in northern France, route marches, bayonet exercises and events at Officers' Instruction school, Candahar Barracks, Tidworth.",Archibald,Barwick,Diary,26,3,1917,10,9,1917,Donna Gallacher,Grahame Bickford,,,,TRUE,TRUE,TRUE,2,1
Diary_0024,Archibald,Barwick,https://archival.sl.nsw.gov.au/Details/archive/110336715,https://collection.sl.nsw.gov.au/record/nvg8BxQ1,document-item-11-archie-barwick-diary-21-september1917-4-march-1918-node-80563,"Describes leave in Scotland, return to France Sept. 25, day to day war-time experiences, Taube bombing raids and leave in Paris.",Archibald,Barwick,Diary,21,9,1917,4,3,1918,June Pettit,Crahame Bickford,Gail Gormley,,,TRUE,TRUE,TRUE,3,0
Diary_0025,Archibald,Barwick,https://archival.sl.nsw.gov.au/Details/archive/110336738,https://collection.sl.nsw.gov.au/record/1DrmzV59,document-item-12-archie-barwick-diary-5-march-12-april-1918-node-80211,"Describes war-time experiences including attendance at bombing school, billeting experiences and German bombing raids",Archibald,Barwick,Diary,5,3,1918,12,4,1918,Betty Smith,Peter Mayo,,,,TRUE,TRUE,TRUE,0,0
Diary_0026,Archibald,Barwick,https://archival.sl.nsw.gov.au/Details/archive/110336739,https://collection.sl.nsw.gov.au/record/9yM6OJD9,document-item-13-archie-barwick-diary-25-april-19-june-1918-node-80496,"From his hospital bed in Birmingham Barwick recounts the previous few weeks, describing the battle in Hazelbrouck where he was wounded and journey to England, and his convalescence in England.",Archibald,Barwick,Diary,25,4,1918,19,6,1918,Rosemary Cox,Barbara Manchester,,,,TRUE,TRUE,TRUE,0,0
Diary_0027,Archibald,Barwick,https://archival.sl.nsw.gov.au/Details/archive/110336743,https://collection.sl.nsw.gov.au/record/9arp40Zn,document-item-14-archie-barwick-diary-20-june-30-september-1918-node-80596,Describes convalescence and leave in England after being wounded in France,Archibald,Barwick,Diary,20,6,1918,30,9,1918,Lynne Palmer,,,,,TRUE,TRUE,TRUE,0,0
Diary_0028,Archibald,Barwick,https://archival.sl.nsw.gov.au/Details/archive/110336745,https://collection.sl.nsw.gov.au/record/YRlZ63qn,document-item-15-archie-barwick-diary-1-october-14-december-1918-node-80497,"Describes leave in England, the news of the signing of the Armistice, Nov. 11 and embarking on the S.S. Port Hacking for the return voyage to Australia, Dec. 3 1918",Archibald,Barwick,Diary,1,10,1918,14,12,1918,Judy Gimbert,,,,,TRUE,TRUE,TRUE,0,0
Diary_0029,Archibald,Barwick,https://archival.sl.nsw.gov.au/Details/archive/110336748,https://collection.sl.nsw.gov.au/record/YoldD0E9,document-item-16-archie-barwick-diary-15-december-1918-26-january-1919-node-80597,Describes return voyage to Melbourne on the S.S. Port Hacking and quarantine restrictions while anchored off Queenscliff,Archibald,Barwick,Diary,15,12,1918,28,1,1919,Miles Harvey,Patricia Ryan,,,,TRUE,TRUE,TRUE,2,0
Diary_0030,George,Bell,https://archival.sl.nsw.gov.au/Details/archive/110351446,https://collection.sl.nsw.gov.au/record/1l4ddLV1,document-item-01-george-w.-d.-bell-diary-and-notes-14-april-1917---8-may-1918-node-80293,"Diary, written by Bell while a prisoner of war in Germany. It includes an explanation of how the papers were secreted in a tube of Colgates toothpaste and removed at times to be condensed and re-written",George,Bell,Diary,11,4,1917,8,5,1918,Miles Harvey,Rosemary Cox,,,,TRUE,TRUE,TRUE,0,0
Diary_0031,George,Bell,https://archival.sl.nsw.gov.au/Details/archive/110351442,https://collection.sl.nsw.gov.au/record/1xqZZ7eY,document-item-02-george-w.-d.-bell-war-narrative-14-april-1917-14-may-1918-node-80440,"Describes being wounded and captured at Reincourt near Bullicourt, France, hospitalisation, departure for Germany 5 June 1917, treatment as a prisoner of war and release in May 1918. Originally titled 'Thirteen months captivity in Hunland'",George,Bell,Diary,11,4,1917,14,5,1918,Rosemary Cox,,,,,TRUE,TRUE,TRUE,0,0
Diary_0032,James,Bell,https://archival.sl.nsw.gov.au/Details/archive/110319482,https://collection.sl.nsw.gov.au/record/1DrmXdv9,document-bell-diary-11-december-1915---21-july-1916-james-e.-bell-node-80315,,James,Bell,Diary,11,12,1915,22,7,1916,Judy Gimbert,,,,,TRUE,TRUE,TRUE,1,0
Diary_0033,Roy,Bell,https://archival.sl.nsw.gov.au/Details/archive/110319345,https://collection.sl.nsw.gov.au/record/YRlZo3gn,document-bell-war-diary-16-december-1915---26-october-1916-roy-pinto-bell-node-80301,"Diary describes voyage from Sydney to Egypt, the camp near Cairo and action in France",Roy,Bell,Diary,16,12,1915,24,10,1916,June Pettit,,,,,TRUE,TRUE,TRUE,2,0
Diary_0034,William,Bendrey,https://archival.sl.nsw.gov.au/Details/archive/110336809,https://collection.sl.nsw.gov.au/record/9gkdL3v9,document-item-01-w.-e.-bendrey-diary-16-may-5-october-1915-node-80221,"Describes Bendrey's voyage on the Karoola from Sydney to Egypt May 1915-Sept. 17, 1915.",William,Bendrey,Diary,16,5,1915,5,10,1915,Peter Mayo,,,,,TRUE,TRUE,TRUE,0,0
Diary_0035,William,Bendrey,https://archival.sl.nsw.gov.au/Details/archive/110336898,https://collection.sl.nsw.gov.au/record/9NaAowbY,document-item-02-w.-e.-bendrey-diary-6-october-1915-19-june-1916-node-72637,"Describes Bendrey's experiences in a convalescent home in Helouan, Egypt, camps and training in Egypt, voyage to France on the Ivernia in March 1916, departure for the trenches where he was wounded in April 1916 and arrival in England May 1916.",William,Bendrey,Diary,6,10,1915,19,6,1916,Peter Mayo,,,,,TRUE,TRUE,TRUE,2,0
Diary_0036,William,Bendrey,https://archival.sl.nsw.gov.au/Details/archive/110336900,https://collection.sl.nsw.gov.au/record/nQR2ZLG1,document-item-03-w.-e.-bendrey-diary-19-june--17-september-1916-node-72638,Describes Bendrey's experiences in England after leaving Harefield Hospital in Middlesex and return to Australia on the Marathon in August.,William,Bendrey,Diary,19,6,1916,17,9,1916,Peter Mayo,,,,,TRUE,TRUE,TRUE,0,0
Diary_0037,James,Bennett,https://archival.sl.nsw.gov.au/Details/archive/110319347,https://collection.sl.nsw.gov.au/record/9AL4jV8Y,document-bennett-war-diary-1914-1915-j.-bennett-node-72772,"Diary includes descriptions of voyage of S.S. Suevic from Sydney to Alexandria, of life in camp near Cairo, Egypt, of action in the Dardanelles and of the voyage back to Sydney on the hospital ship Kanowna",James,Bennett,Diary,16,9,1914,11,1,1916,Judy Gimbert,Grahame Bickford,,,,TRUE,TRUE,TRUE,2,0
Diary_0038,Herbert,Berry,https://archival.sl.nsw.gov.au/Details/archive/110336924,https://collection.sl.nsw.gov.au/record/n5lVD2w9,document-item-01-h.-v.-berry-diary-14-june-1915-27may-1916-node-80212,"Describes voyage from Sydney to Suez on the Beltana, Nov. 9-Dec. 11, 1915 and training, camps and activities in Egypt.",Herbert,Berry,Diary,14,6,1915,27,5,1916,Peter Mayo,,,,,TRUE,TRUE,TRUE,1,0
Diary_0039,Herbert,Berry,https://archival.sl.nsw.gov.au/Details/archive/110336925,https://collection.sl.nsw.gov.au/record/Yj7drxL9,document-item-02-h.-v.-berry-diary-29-may-1916-5-may1918-node-80598,"Describes preparations for departure from Egypt to France, service in France 1916-1917 and Belgium Sept. 1917, including hospitalisation in France, 1917 and England, 1917-1918",Herbert,Berry,Diary,29,5,1916,5,5,1918,Peter Mayo,Miles Harvey,,,,TRUE,TRUE,TRUE,1,0
Diary_0040,Kenneth,Binnie,https://archival.sl.nsw.gov.au/Details/archive/110359084,https://collection.sl.nsw.gov.au/record/1bGdLGbY,document-item-01-kenneth-binnie-war-diary-6-january-28-december-1916-node-80714,"Describes camp at Sydney, the voyage to England on the Argyllshire, camp at Amesbury, Wiltshire, and leave in London and Edinburgh",Kenneth,Binnie,Diary,2,1,1916,1,1,1917,,,,,,TRUE,FALSE,TRUE,0,0
Diary_0041,Kenneth,Binnie,https://archival.sl.nsw.gov.au/Details/archive/110359085,https://collection.sl.nsw.gov.au/record/npAdpAo1,document-item-02-kenneth-binnie-war-diary-29-december-1916---31-december-1917-node-80733,"Describes experiences in France, at the Western Front near Armentieres, and at training camp in London",Kenneth,Binnie,Diary,29,12,1916,31,12,1917,,,,,,TRUE,FALSE,TRUE,1,0
Diary_0042,Kenneth,Binnie,https://archival.sl.nsw.gov.au/Details/archive/110359086,https://collection.sl.nsw.gov.au/record/1xqZpqAY,document-item-03-kenneth-binnie-war-diary-1-january---31-december-1918-node-80749,"Describes experiences on the Western Front in the Picardy region, and on leave in London and in Paris (he was on leave in Paris on Armistice Day)",Kenneth,Binnie,Diary,1,1,1918,31,12,1918,,,,,,TRUE,FALSE,TRUE,1,0
Diary_0043,Kenneth,Binnie,https://archival.sl.nsw.gov.au/Details/archive/110359087,https://collection.sl.nsw.gov.au/record/9arpOr6n,document-item-04-kenneth-binnie-war-diary-1-january---31-december-1919-node-80757,"Diary kept while in London, on the voyage home, in Sydney and at the family property in the Quirindi district",Kenneth,Binnie,Diary,1,1,1919,31,12,1919,,,,,,TRUE,FALSE,TRUE,744,0
Diary_0044,Gordon,Birkbeck,https://archival.sl.nsw.gov.au/Details/archive/110348876,https://collection.sl.nsw.gov.au/record/YK5Q436n,document-item-01-g.-t.-birkbeck-diary-30-september-1915---23-april-1919-node-80367,"Describes leaving Liverpool camp and embarking for Suez 30 September 1915, arriving 30 Oct. 1915, camp life in Lemnos, voyage to Alexandria on Empress of Britain, 2 Jan. 1916, various camps and marches, aerial raids with heavy bombardments around Romani, Egypt, attending Zietoun machine gun school, Cairo Jan. 1918, fighting in Egypt and Palestine, and embarking on Port Sydney Mar. 1919, arriving in Sydney 15 Apr. 1919. Diary is followed by descriptions of towns in Egypt",Gordon,Birkbeck,Diary,30,9,1915,23,4,1919,John Brooker,Betty Smith,,,,TRUE,TRUE,TRUE,1,0
Diary_0045,Frank,Blake,https://archival.sl.nsw.gov.au/Details/archive/110319488,https://collection.sl.nsw.gov.au/record/nQR2oMV1,document-blake-diary-1917-1919-frank-blake-node-80363,"Describes training in Seymour Camp, Victoria, voyage from Melbourne to Suez on the Boorarra, 10 May - 20 June 1917, training in Egypt, experiences dealing with Australian and Turkish sick and wounded",Frank,Blake,Diary,22,1,1917,14,4,1919,Eric Hetherington,Margaret Russell,,,,TRUE,TRUE,TRUE,2,1
Diary_0046,Richard,Blundell,https://archival.sl.nsw.gov.au/Details/archive/110349396,https://collection.sl.nsw.gov.au/record/16AJ0gVn,document-item-01-richard-blundell-diary-1-january-31-december-1915-node-80719,"Describes activities at Light House Camp at Holsworthy, No. 4 Troop B Squadron, Moore Park camp and camp in Melbourne before embarking on A45 SS Hessen 1 Feb. 1915, on board duties caring for horses and arrival in Suez 8 Mar. 1915. He describes camps, drills and training, sailing from Alexandria to Lemnos on SS Indian 10 Apr. 1915, arriving in Gallipoli 25 Apr. 1915, troop and ship movements in the Dardanelles 25 Apr.-17 May 1915, and camps near Cairo",Richard,Blundell,Diary,1,1,1915,31,12,1915,,,,,,TRUE,FALSE,TRUE,1,0
Diary_0047,Richard,Blundell,https://archival.sl.nsw.gov.au/Details/archive/110349449,https://collection.sl.nsw.gov.au/record/n88E3oBn,document-item-04-richard-blundell-diary-1-january-31-december-1918-node-130580,"Describes warfare in northern France near Steenwerck, events in camp, leave in Paris and leave in London 27 Feb.-14 Mar. 1918",Richard,Blundell,Diary,1,1,1918,1,1,1919,,,,,,TRUE,FALSE,TRUE,4,0
Diary_0048,Joseph,Bolger,https://archival.sl.nsw.gov.au/Details/archive/110347832,https://collection.sl.nsw.gov.au/record/YK5Q3lRn,document-item-01-joseph-michael-bolger-diary-8-july-1916-6-may-1917-node-80436,"Describes voyage to Egypt on RMS Mongolia, departing Sydney 8 July 1916, arriving in Aden 6 Aug. 1916, and activities and battles in desert camps in Egypt",Joseph,Bolger,Diary,8,7,1916,6,5,1917,Bill Coupland,Adrian Bicknell,,,,TRUE,TRUE,TRUE,1,2
Diary_0049,Joseph,Bolger,https://archival.sl.nsw.gov.au/Details/archive/110347834,https://collection.sl.nsw.gov.au/record/9Bv7Ee09,document-item-02-joseph-michael-bolger-diary-6-may-15-september-1917-node-80441,Describes working with camels and camp activities in Egypt,Joseph,Bolger,Diary,7,5,1917,15,9,1917,Judy Gimbert,,,,,TRUE,TRUE,TRUE,0,0
Diary_0050,Joseph,Bolger,https://archival.sl.nsw.gov.au/Details/archive/110347835,https://collection.sl.nsw.gov.au/record/1wN23gOn,document-item-03-joseph-michael-bolger-diary-16-september-1917-28-august-1918-node-72761,"Describes camp life and patrols in Egypt, hospitalisation with malaria in June and August 1918 and transfer to the Light Horse Brigade",Joseph,Bolger,Diary,16,9,1917,28,8,1918,Lynne Palmer,,,,,TRUE,TRUE,TRUE,2,0
Diary_0051,Joseph,Bolger,https://archival.sl.nsw.gov.au/Details/archive/110347837,https://collection.sl.nsw.gov.au/record/nX6O0v0Y,document-item-04-joseph-michael-bolger-diary-29-august-1918-29-june-1919-node-80362,"Describes musketry and bayonet training, his hospitalisation in Kantara with malaria, his return to duty and return to hospital, news of the armistice and return voyage to Australia",Joseph,Bolger,Diary,29,8,1918,29,6,1919,Lynne Palmer,Val Ridley,,,,TRUE,TRUE,TRUE,2,0
Diary_0052,William,Bradbury,https://archival.sl.nsw.gov.au/Details/archive/110319351,https://collection.sl.nsw.gov.au/record/nZNv8R6n,document-william-bradbury-diary-1915-1917-node-130885,"Describes voyage from Sydney to Port Suez on S.S. Suevic, June - July 1915, action at Gallipoli, July -December 1915, and evacuation to Egypt, and action in Egypt to September 1917",William,Bradbury,Diary,9,6,1915,30,9,1917,Barbara Manchester,,,,,TRUE,TRUE,TRUE,0,0
Diary_0053,Alfred,Bray,https://archival.sl.nsw.gov.au/Details/archive/110351624,https://collection.sl.nsw.gov.au/record/n5lVVkE9,document-item-04-alfred-bray-diary-19-june-1918-8-february-1919-node-80520,"Describes fighting on the front line in France and Belgium, wounding by a gas shell 19 June 1918, hospitalisation July 1918 and embarking on Somali 9 Dec. 1918, arriving in Melbourne 8 Feb. 1919",Alfred,Bray,Diary,19,6,1918,10,2,1919,Darren Blumberg,Ros Bean,,,,TRUE,TRUE,TRUE,1,0
Diary_0054,Francis,Brewer,https://archival.sl.nsw.gov.au/Details/archive/110351791,https://collection.sl.nsw.gov.au/record/9AL4485Y,document-series-02-francis-brewer-war-narrative-20-june-1917-16-april-1919-node-80294,"Handwritten transcript of shorthand diaries, describing life on board H.M.A.T. Suevic, June-Aug. 1917, stay in England, Aug.-May 1918, training and trench warfare in France, May-Oct. 1918, return to England, Oct.-Jan. 1918 and trip home on City of York, Jan.-Apr. 1919. Includes two maps, hand drawn and printed",Francis,Brewer,Diary,20,6,1917,16,4,1919,Donna Gallacher,John Glennon,,,,TRUE,TRUE,TRUE,1,2
Diary_0055,Hector,Brewer,https://archival.sl.nsw.gov.au/Details/archive/110336120,https://collection.sl.nsw.gov.au/record/nmQdjgRn,document-item-01-hector-brewer-diary-21-august-1914-31-december-1915-node-80470,"Departure from Australia, war experiences in Egypt, Greece and Gallipoli",Hector,Brewer,Diary,21,8,1914,31,12,1915,Eric Hetherington,Peter Mayo,,,,TRUE,TRUE,TRUE,2,0
Diary_0056,Hector,Brewer,https://archival.sl.nsw.gov.au/Details/archive/110336123,https://collection.sl.nsw.gov.au/record/1kVdeZzn,document-item-02-hector-brewer-diary-19-june-1915-25-december-1916-node-80471,"Describes arrival at Marseilles, billets, leave in Paris, marches and training in Cassell, front line warfare in France and leave in England",Hector,Brewer,Diary,19,6,1915,25,12,1916,June Pettit,Tomas Drevikovsky,,,,TRUE,TRUE,TRUE,1,0
